"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"344","-1.0916712284088135","-1.0916712284088135","-1.0916712284088135"
"345","-0.9582303166389465","-0.9582303166389465","-0.9582303166389465"
"346","-1.2920970916748047","-1.2920970916748047","-1.2920970916748047"
"347","-0.9468659162521362","-0.9468659162521362","-0.9468659162521362"
"348","-1.2091299295425415","-1.2091299295425415","-1.2091299295425415"
"349","-1.1062036752700806","-1.1062036752700806","-1.1062036752700806"
"350","-1.27364981174469","-1.27364981174469","-1.27364981174469"
"351","-1.214382529258728","-1.214382529258728","-1.214382529258728"
"352","-0.9768710136413574","-0.9768710136413574","-0.9768710136413574"
"353","-0.8642897605895996","-0.8642897605895996","-0.8642897605895996"
"354","-0.7844407558441162","-0.7844407558441162","-0.7844407558441162"
"355","-1.1612577438354492","-1.1612577438354492","-1.1612577438354492"
"356","-1.1191158294677734","-1.1191158294677734","-1.1191158294677734"
"357","-1.3485885858535767","-1.3485885858535767","-1.3485885858535767"
"358","-1.0125597715377808","-1.0125597715377808","-1.0125597715377808"
"359","-1.0275754928588867","-1.0275754928588867","-1.0275754928588867"
"360","-0.880115270614624","-0.880115270614624","-0.880115270614624"
"361","-1.2789700031280518","-1.2789700031280518","-1.2789700031280518"
"362","-1.024190902709961","-1.024190902709961","-1.024190902709961"
"363","-1.171821117401123","-1.171821117401123","-1.171821117401123"
"364","-1.2560477256774902","-1.2560477256774902","-1.2560477256774902"
"365","-1.087015151977539","-1.087015151977539","-1.087015151977539"
"366","-1.2277017831802368","-1.2277017831802368","-1.2277017831802368"
"367","-1.100231409072876","-1.100231409072876","-1.100231409072876"
"368","-0.8603479862213135","-0.8603479862213135","-0.8603479862213135"
"369","-0.9889135956764221","-0.9889135956764221","-0.9889135956764221"
"370","-1.6860913038253784","-1.6860913038253784","-1.6860913038253784"
"371","-1.2427302598953247","-1.2427302598953247","-1.2427302598953247"
"372","-0.88848477602005","-0.88848477602005","-0.88848477602005"
"373","-1.1902897357940674","-1.1902897357940674","-1.1902897357940674"
"374","-1.0849497318267822","-1.0849497318267822","-1.0849497318267822"
"375","-1.2558462619781494","-1.2558462619781494","-1.2558462619781494"
